satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,departments,salary,left
0.142,0.33,5,269,10,0,1,IT,low,1
0.448,0.471,5,101,10,0,0,RandD,low,0
0.393,0.48,6,242,2,1,0,hr,low,1
0.08,0.998,2,308,7,1,0,marketing,high,0
0.755,0.114,2,153,8,1,0,accounting,high,0
0.434,0.852,2,244,7,0,1,hr,medium,1
0.469,0.864,4,290,1,0,0,accounting,high,0
0.151,0.553,6,182,1,0,0,IT,high,1
0.181,0.344,5,187,7,1,0,support,low,1
0.907,0.519,3,128,9,1,1,product_mng,low,0
0.045,0.292,5,182,2,0,1,marketing,low,0
0.233,0.799,5,289,1,0,1,hr,high,1
0.292,0.498,3,239,5,0,0,IT,high,0
0.49,0.926,6,128,4,1,1,technical,high,0
0.586,0.623,4,206,10,0,1,IT,medium,1
0.493,0.514,2,249,10,0,1,marketing,high,1
0.084,0.711,4,98,6,1,1,support,high,0
0.244,0.504,6,263,10,0,0,IT,high,1
0.844,0.905,6,128,3,1,1,support,high,0
0.638,0.184,3,150,10,1,1,management,low,0
0.649,0.973,6,179,5,1,1,marketing,high,0
0.67,0.812,4,201,5,0,1,accounting,high,0
0.763,0.861,4,299,1,1,1,marketing,low,0
0.058,0.483,2,133,2,0,0,sales,high,0
0.367,0.837,7,141,2,1,1,support,medium,1
0.54,0.307,7,170,5,1,1,hr,low,1
0.338,0.762,3,285,2,1,0,marketing,high,0
0.844,0.14,5,311,2,1,0,accounting,low,1
0.483,0.307,6,189,7,1,0,accounting,medium,1
0.769,0.446,5,246,9,1,1,marketing,high,1
0.852,0.322,3,300,1,0,0,marketing,low,0
0.505,0.387,7,283,6,0,1,support,low,1
0.91,0.82,3,243,10,0,0,support,high,1
0.587,0.257,4,209,5,0,1,technical,high,0
0.85,0.745,4,316,2,1,1,support,medium,0
0.341,0.074,7,137,1,0,0,RandD,medium,1
0.499,0.766,5,167,10,0,0,management,high,0
0.531,0.792,6,251,5,1,1,product_mng,high,1
0.105,0.402,7,85,2,0,0,RandD,high,0
0.399,0.722,7,200,9,1,1,hr,low,0
0.917,0.915,7,285,9,1,1,RandD,medium,0
0.631,0.801,7,122,8,1,0,support,high,1
0.178,0.39,7,272,1,1,1,support,low,1
0.339,0.484,7,178,1,1,1,RandD,medium,0
0.192,0.779,5,286,3,0,0,support,low,1
0.025,0.293,2,232,2,0,1,support,high,0
0.927,0.804,2,117,6,0,0,marketing,high,0
0.448,0.328,6,256,4,1,1,RandD,low,0
0.308,0.806,3,93,8,1,0,support,medium,0
0.598,0.087,6,138,2,0,1,sales,low,1
0.007,0.044,7,293,8,0,1,accounting,high,1
0.278,0.998,5,290,10,0,0,IT,low,1
0.703,0.869,6,91,2,0,0,RandD,medium,0
0.634,0.883,3,171,7,1,0,technical,low,0
0.982,0.951,4,102,6,0,0,IT,low,0
0.62,0.438,7,145,1,1,0,RandD,high,0
0.478,0.287,6,312,3,0,1,technical,medium,1
0.761,0.13,3,126,8,0,0,IT,low,0
0.903,0.501,7,233,9,1,1,accounting,high,0
0.721,0.22,4,273,4,0,0,accounting,low,0
0.963,0.936,7,291,2,0,1,IT,medium,1
0.782,0.004,5,164,3,1,1,technical,high,0
0.867,0.143,5,247,9,0,1,sales,high,0
0.114,0.246,2,196,6,0,0,marketing,low,1
0.732,0.199,4,105,5,0,1,RandD,low,0
0.44,0.226,6,133,1,1,1,marketing,low,0
0.553,0.656,7,259,8,1,0,product_mng,medium,1
0.654,0.328,2,244,5,1,0,sales,high,0
0.97,0.615,2,205,6,0,1,support,medium,0
0.985,0.89,6,267,9,0,0,sales,medium,0
0.288,0.603,4,245,6,0,0,product_mng,low,1
0.734,0.695,7,161,10,0,1,IT,high,0
0.75,0.366,2,150,6,1,1,sales,medium,0
0.346,0.16,4,306,4,0,1,RandD,medium,1
0.124,0.321,2,313,10,1,1,IT,low,0
0.041,0.964,6,87,7,1,0,management,low,0
0.777,0.622,7,269,8,1,0,product_mng,low,1
0.49,0.278,2,111,3,0,1,sales,medium,0
0.986,0.451,3,286,7,0,1,accounting,high,0
0.465,0.836,7,221,6,1,0,accounting,high,0
0.978,0.668,2,245,2,1,0,management,medium,0
0.412,0.561,7,248,3,0,0,RandD,medium,0
0.794,0.885,7,225,10,0,0,IT,medium,1
0.085,0.672,2,140,6,1,0,RandD,high,0
0.555,0.643,2,273,8,1,1,accounting,low,1
0.802,0.19,6,212,2,0,1,marketing,medium,1
0.925,0.106,2,210,3,1,1,accounting,high,0
0.823,0.965,5,156,10,0,0,management,medium,1
0.037,0.599,2,82,5,1,0,accounting,medium,0
0.373,0.416,5,212,9,1,1,marketing,high,1
0.049,0.589,4,162,9,0,1,product_mng,low,1
0.109,0.062,6,238,4,1,1,hr,low,0
0.675,0.822,7,167,10,0,0,hr,high,1
0.713,0.217,4,313,8,0,0,support,medium,1
0.774,0.805,5,243,2,1,1,sales,low,0
0.865,0.534,5,189,1,0,1,hr,low,0
0.739,0.277,7,249,2,1,1,support,high,0
0.801,0.03,3,235,8,1,0,management,high,1
0.049,0.816,3,228,2,1,0,sales,low,0
0.235,0.176,4,218,3,0,0,management,medium,1
0.622,0.052,6,303,5,0,0,RandD,medium,1
0.858,0.756,7,156,2,0,0,IT,low,0
0.005,0.35,3,183,4,1,1,sales,low,0
0.515,0.389,2,140,7,0,0,hr,low,0
0.677,0.247,5,216,10,1,1,technical,high,1
0.03,0.859,5,317,5,0,0,sales,high,1
0.401,0.297,4,226,8,0,1,accounting,high,0
0.896,0.21,3,129,6,1,0,RandD,low,0
0.672,0.309,7,301,5,1,0,technical,high,1
0.238,0.203,7,269,6,1,1,IT,low,1
0.853,0.318,6,185,10,0,1,RandD,high,0
0.348,0.083,5,115,1,1,0,RandD,low,0
0.853,0.159,3,176,6,1,1,IT,low,0
0.299,0.417,4,273,1,1,0,product_mng,medium,0
0.59,0.879,2,218,9,1,1,sales,high,0
0.397,0.057,3,124,7,0,1,sales,low,0
0.275,0.213,4,118,1,0,1,management,medium,0
0.887,0.908,4,312,7,1,0,support,high,0
0.188,0.89,2,187,5,0,0,management,medium,0
0.085,0.679,7,244,1,0,1,sales,high,1
0.342,0.24,3,166,10,0,0,management,medium,0
0.718,0.42,5,101,4,0,1,product_mng,low,0
0.807,0.211,4,178,1,0,0,hr,low,0
0.999,0.129,4,246,7,1,0,hr,medium,1
0.296,0.38,7,160,4,1,0,IT,low,0
0.408,0.576,6,224,7,0,0,accounting,low,1
0.137,0.36,7,185,2,0,0,IT,high,0
0.575,0.611,4,161,9,0,0,accounting,low,0
0.998,0.296,3,141,5,1,0,management,low,0
0.701,0.346,4,142,5,0,0,hr,medium,0
0.595,0.791,5,141,9,0,1,accounting,medium,1
0.392,0.878,4,252,6,1,1,IT,low,1
0.915,0.322,4,160,1,1,1,technical,low,0
0.497,0.572,2,257,6,0,1,marketing,high,0
0.134,0.278,5,154,7,1,0,technical,medium,0
0.365,0.053,6,158,4,1,1,marketing,medium,1
0.067,0.738,5,301,2,0,1,hr,low,1
0.202,0.171,7,290,1,1,0,technical,low,1
0.018,0.426,7,176,9,0,1,management,low,1
0.453,0.487,7,144,1,1,1,marketing,high,1
0.635,0.184,2,251,6,0,1,sales,high,0
0.343,0.095,7,96,9,0,0,accounting,medium,1
0.42,0.348,4,189,4,1,1,sales,high,0
0.959,0.952,4,223,3,1,1,RandD,low,0
0.752,0.615,4,242,8,0,1,marketing,high,1
0.541,0.381,3,105,7,0,1,accounting,medium,0
0.285,0.039,7,80,1,1,1,IT,medium,0
0.897,0.6,5,146,6,1,0,technical,high,0
0.235,0.092,7,108,1,1,1,IT,low,0
0.325,0.543,7,201,4,1,0,accounting,medium,1
0.909,0.752,4,300,4,0,0,management,low,1
0.53,0.424,6,148,9,0,0,support,medium,0
0.742,0.299,5,188,10,1,1,IT,low,0
0.591,0.047,4,131,7,1,1,hr,medium,0
0.653,0.025,6,90,8,0,1,IT,high,0
0.299,0.43,6,248,1,1,0,support,low,0
0.241,0.883,7,141,1,0,1,hr,low,0
0.322,0.244,6,211,8,0,1,product_mng,low,1
0.155,0.574,5,243,5,0,1,marketing,high,0
0.874,0.684,7,281,6,0,1,product_mng,medium,1
0.283,0.061,2,124,7,0,0,RandD,high,1
0.561,0.153,6,219,4,1,0,support,high,0
0.792,0.331,4,298,7,0,1,accounting,low,0
0.784,0.67,4,196,8,1,1,IT,high,1
0.438,0.439,6,89,3,1,0,marketing,low,0
0.476,0.734,3,142,7,1,0,technical,low,0
0.995,0.868,7,270,2,0,1,sales,high,0
0.675,0.758,4,270,4,0,0,marketing,medium,0
0.815,0.992,4,155,8,0,0,technical,high,0
0.903,0.754,3,127,10,1,1,management,low,0
0.788,0.852,4,150,1,0,0,management,medium,0
0.185,0.832,7,138,7,1,0,IT,low,1
0.562,0.73,2,257,6,1,1,support,high,0
0.102,0.802,5,281,7,1,1,marketing,high,0
0.653,0.935,7,91,8,0,0,support,high,1
0.955,0.475,4,257,1,0,1,hr,low,0
0.513,0.638,5,260,8,1,0,technical,high,1
0.433,0.515,4,227,3,0,0,product_mng,high,1
0.036,0.851,2,289,2,0,0,technical,high,1
0.96,0.431,5,89,5,1,1,hr,medium,0
0.103,0.82,7,247,1,1,0,technical,high,1
0.041,0.799,5,110,7,0,0,product_mng,high,1
0.246,0.962,4,295,6,0,1,hr,low,1
0.066,0.249,2,199,6,0,1,product_mng,high,0
0.455,0.71,7,101,1,0,1,technical,low,0
0.516,0.757,7,259,8,1,1,technical,high,1
0.313,0.936,7,259,1,1,0,RandD,low,1
0.051,0.907,4,191,3,0,1,technical,high,0
0.112,0.574,5,154,4,0,0,IT,high,0
0.385,0.579,4,84,8,0,1,RandD,high,0
0.061,0.167,3,297,5,0,1,IT,high,1
0.698,0.975,3,124,9,0,0,hr,medium,1
0.207,0.255,4,282,10,0,0,RandD,high,1
0.302,0.725,5,221,8,1,1,technical,low,1
0.394,0.796,2,244,1,1,1,hr,medium,0
0.417,0.441,6,246,8,1,0,management,low,1
0.002,0.211,4,285,3,1,0,support,low,1
0.112,0.189,7,88,9,0,1,IT,high,1
0.863,0.856,3,317,10,1,1,IT,medium,1
0.001,0.511,2,90,1,0,0,product_mng,low,0
0.508,0.09,3,319,1,1,1,product_mng,high,0
0.49,0.717,7,142,7,1,0,hr,high,1
0.333,0.25,3,283,2,1,0,RandD,medium,1
0.431,0.876,6,100,10,0,0,hr,low,1
0.781,0.31,7,190,6,1,1,IT,high,0
0.841,0.2,3,210,6,1,0,marketing,high,0
0.26,0.085,5,309,9,0,0,technical,low,1
0.322,0.512,3,109,3,1,0,support,low,0
0.242,0.451,4,88,6,0,0,marketing,high,0
0.48,0.751,3,235,10,0,0,technical,high,1
0.683,0.465,6,91,1,1,1,management,high,0
0.228,0.344,7,266,2,0,1,support,low,1
0.331,0.262,3,89,2,0,0,technical,low,0
0.93,0.278,3,312,4,0,1,accounting,medium,0
0.049,0.928,6,207,2,0,1,sales,medium,1
0.461,0.165,4,307,2,1,0,IT,high,0
0.712,0.988,5,110,9,1,0,technical,high,0
0.15,0.327,6,145,5,0,1,RandD,low,1
0.047,0.088,2,189,4,0,0,hr,low,1
0.138,0.249,7,87,5,1,0,technical,low,1
0.919,0.058,4,104,10,1,0,product_mng,low,0
0.009,0.79,5,159,5,1,1,product_mng,high,0
0.188,0.513,4,256,5,1,1,RandD,low,1
0.031,0.337,6,250,10,1,0,IT,high,1
0.111,0.662,5,100,1,0,0,marketing,medium,0
0.62,0.631,3,94,5,1,1,marketing,low,0
0.242,0.94,3,237,8,1,1,sales,high,1
0.569,0.961,7,166,6,0,0,marketing,medium,1
0.59,0.681,5,270,9,0,0,marketing,low,1
0.849,0.818,3,151,9,1,0,management,low,0
0.005,0.792,2,167,4,1,0,marketing,medium,1
0.853,0.491,2,132,9,1,1,hr,low,0
0.619,0.704,7,143,3,0,1,IT,medium,0
0.163,0.078,7,249,3,0,1,RandD,medium,1
0.773,0.758,4,193,10,1,1,management,low,1
0.855,0.962,3,238,1,0,1,technical,low,1
0.254,0.085,4,98,4,1,1,marketing,medium,1
0.919,0.836,2,208,7,0,0,management,medium,0
0.454,0.933,5,190,5,0,0,marketing,low,0
0.603,0.226,5,298,9,0,1,hr,low,1
0.985,0.525,7,181,3,1,0,product_mng,low,0
0.362,0.928,3,104,6,1,1,hr,high,0
0.813,0.96,3,247,2,0,0,RandD,high,0
0.318,0.128,2,115,3,0,0,product_mng,medium,0
0.799,0.349,4,298,2,0,0,support,medium,0
0.601,0.698,5,172,8,1,0,technical,low,1
0.216,0.222,2,268,3,1,0,support,low,0
0.414,0.325,6,237,7,1,0,accounting,high,1
0.318,0.023,4,191,4,0,0,product_mng,low,0
0.078,0.154,6,220,6,0,0,IT,high,1
0.03,0.562,4,123,9,0,1,product_mng,low,1
0.346,0.653,2,97,9,1,0,IT,low,0
0.019,0.649,2,263,1,0,1,hr,high,0
0.165,0.778,5,310,8,0,0,IT,high,1
0.725,0.415,5,286,10,1,1,product_mng,high,1
0.708,0.273,6,153,7,0,1,marketing,low,1
0.739,0.016,7,165,2,1,1,RandD,medium,0
0.317,0.207,2,166,7,0,1,IT,low,0
0.89,0.312,3,248,7,1,0,sales,low,0
0.594,0.178,3,229,7,0,1,RandD,medium,0
0.126,0.02,2,271,5,1,0,marketing,low,0
0.144,0.157,2,306,6,0,1,RandD,low,0
0.693,0.666,2,174,7,0,0,marketing,medium,0
0.173,0.63,5,239,5,0,0,marketing,high,0
0.507,0.936,2,200,8,1,1,management,low,0
0.992,0.798,3,309,8,0,1,sales,medium,0
0.004,0.568,2,164,4,0,1,sales,high,0
0.017,0.138,6,125,7,0,1,management,high,1
0.993,0.564,5,170,8,1,1,hr,medium,0
0.585,0.062,7,228,5,1,1,product_mng,low,0
0.127,0.431,2,308,8,1,1,marketing,high,1
0.897,0.39,3,278,2,0,0,product_mng,low,0
0.88,0.428,4,84,4,1,1,management,low,0
0.536,0.28,5,202,8,1,1,product_mng,medium,1
0.622,0.686,2,118,9,1,1,accounting,low,0
0.273,0.841,3,166,7,1,1,IT,low,0
0.051,0.769,4,306,7,0,1,IT,low,1
0.595,0.628,2,316,4,1,1,RandD,high,0
0.295,0.538,4,116,8,0,0,IT,high,0
0.664,0.031,6,113,4,1,1,sales,high,0
0.836,0.723,5,247,1,0,1,technical,low,0
0.018,0.545,4,178,3,1,1,hr,high,0
0.596,0.271,4,183,7,1,1,IT,medium,0
0.231,0.328,7,289,10,1,1,technical,high,1
0.874,0.936,5,300,5,1,0,management,medium,1
0.254,0.624,5,296,9,1,1,management,low,1
0.611,0.476,7,267,8,0,1,product_mng,low,1
0.554,0.621,2,315,6,1,1,RandD,low,1
0.396,0.414,2,252,9,1,1,accounting,high,1
0.678,0.47,4,292,5,0,1,sales,medium,0
0.726,0.29,3,209,5,1,1,support,high,1
0.567,0.44,3,92,8,1,0,marketing,high,0
0.758,0.686,2,275,7,1,1,marketing,low,0
0.983,0.04,7,303,6,1,1,IT,low,0
0.419,0.795,5,154,5,0,1,sales,low,0
0.515,0.283,6,182,10,0,0,management,low,1
0.012,0.683,2,217,1,0,1,RandD,high,0
0.796,0.643,4,236,1,1,0,accounting,medium,0
0.52,0.653,5,241,5,1,0,product_mng,medium,1
0.408,0.608,5,174,1,1,0,marketing,low,0
0.094,0.959,6,285,4,0,1,product_mng,medium,1
0.89,0.508,6,275,6,1,0,product_mng,medium,1
0.395,0.732,4,306,5,0,0,RandD,low,1
0.683,0.705,6,218,3,0,0,management,low,0
0.149,0.236,3,98,3,1,1,accounting,medium,0
0.962,0.283,2,282,7,0,0,RandD,medium,1
0.178,0.424,7,99,10,1,1,sales,high,1
0.2,0.278,2,126,8,0,0,marketing,medium,0
0.859,0.367,3,148,6,0,1,management,low,0
0.913,0.391,2,124,2,1,1,IT,high,0
0.212,0.604,3,253,3,1,0,marketing,medium,0
0.47,0.22,4,185,5,1,1,IT,high,0
0.733,0.804,2,132,3,0,0,technical,low,0
0.878,0.438,4,81,7,1,1,accounting,low,0
0.379,0.706,7,131,4,1,1,IT,low,0
0.517,0.081,2,246,9,0,0,marketing,high,0
0.742,0.47,7,270,3,0,0,marketing,low,0
0.731,0.028,4,151,5,0,0,hr,high,1
0.783,0.676,5,97,8,1,0,management,high,0
0.57,0.344,4,213,3,1,1,marketing,medium,0
0.105,0.949,3,267,8,1,0,sales,high,1
0.904,0.324,2,96,6,1,0,marketing,high,0
0.866,0.564,5,270,7,0,0,hr,high,0
0.798,0.257,7,120,5,1,1,product_mng,high,1
0.1,0.62,5,141,10,1,1,marketing,medium,1
0.204,0.467,5,229,8,0,1,accounting,low,1
0.744,0.371,5,92,2,1,0,product_mng,low,0
0.023,0.204,4,153,6,0,1,product_mng,medium,1
0.979,0.112,2,113,10,1,1,product_mng,medium,0
0.377,0.12,5,131,3,1,0,hr,medium,0
0.719,0.999,7,265,6,1,1,product_mng,low,1
0.888,0.412,3,134,8,1,0,IT,medium,0
0.395,0.002,7,90,3,1,1,marketing,medium,0
0.319,0.953,7,131,6,0,1,RandD,high,0
0.609,0.02,3,100,6,0,1,management,high,0
0.581,0.419,5,229,2,1,0,hr,medium,0
0.409,0.717,6,313,2,0,1,accounting,high,0
0.602,0.915,4,120,6,1,1,accounting,low,0
0.935,0.713,6,254,2,0,0,product_mng,high,0
0.468,0.464,7,167,10,1,1,IT,high,0
0.197,0.974,5,97,6,1,0,marketing,low,1
0.377,0.039,7,245,8,0,0,accounting,high,1
0.394,0.987,6,130,4,1,1,marketing,medium,0
0.131,0.849,6,203,3,0,0,support,low,1
0.163,0.929,7,201,5,0,0,sales,medium,1
0.685,0.255,3,223,8,1,0,sales,high,0
0.339,0.142,2,112,4,0,1,product_mng,high,0
0.955,0.663,2,140,3,1,0,accounting,medium,0
0.244,0.516,3,256,2,1,0,accounting,medium,0
0.099,0.523,6,303,6,1,1,hr,medium,1
0.754,0.925,5,82,7,1,0,accounting,high,0
0.881,0.62,4,179,6,1,1,sales,medium,0
0.278,0.311,2,291,3,0,1,hr,medium,1
0.202,0.4,6,148,3,0,1,management,high,0
0.186,0.133,4,187,4,0,1,hr,medium,0
0.522,0.192,6,297,4,0,0,product_mng,low,1
0.468,0.143,2,312,3,0,0,support,low,0
0.259,0.81,3,237,10,0,0,management,low,1
0.045,0.705,2,246,4,1,0,technical,medium,1
0.481,0.53,3,227,3,1,1,accounting,medium,0
0.959,0.374,7,148,7,1,1,management,low,0
0.653,0.668,4,292,9,0,1,management,high,0
0.496,0.813,4,88,5,1,0,marketing,low,0
0.111,0.881,3,94,7,1,1,hr,low,0
0.252,0.547,3,224,1,0,1,hr,high,0
0.295,0.82,6,281,6,1,1,management,low,1
0.765,0.511,7,275,1,1,1,IT,high,0
0.877,0.475,6,242,2,1,1,RandD,high,0
0.902,0.865,6,170,6,0,0,hr,high,1
0.985,0.386,4,166,3,1,0,support,high,0
0.982,0.396,2,182,1,1,1,support,medium,0
0.953,0.305,6,141,2,1,0,IT,medium,0
0.072,0.519,6,180,8,0,0,IT,medium,1
0.138,0.545,5,105,6,0,1,accounting,medium,0
0.304,0.66,2,156,4,0,1,management,high,1
0.553,0.431,6,305,10,1,0,technical,medium,1
0.097,0.218,7,249,4,0,0,IT,medium,1
0.846,0.867,3,114,9,0,1,management,high,0
0.617,0.346,2,148,4,1,1,marketing,low,0
0.542,0.923,6,142,1,0,0,support,medium,1
0.165,0.207,3,147,2,1,1,RandD,high,0
0.253,0.56,6,245,3,1,0,hr,high,0
0.16,0.537,6,294,2,0,1,IT,low,1
0.852,0.829,3,250,2,1,0,product_mng,low,1
0.584,0.139,2,197,4,1,1,RandD,low,0
0.735,0.91,5,118,10,1,1,hr,high,0
0.296,0.531,4,114,3,1,1,marketing,low,0
0.371,0.586,7,275,3,0,1,management,low,1
0.405,0.51,4,242,10,1,0,accounting,medium,1
0.76,0.036,3,202,3,1,0,product_mng,high,0
0.772,0.497,7,218,9,1,0,product_mng,low,1
0.207,0.264,6,283,7,1,0,RandD,low,1
0.942,0.343,5,275,10,1,0,sales,low,1
0.121,0.649,7,100,6,1,0,support,low,1
0.896,0.498,6,174,6,0,1,support,low,1
0.1,0.093,7,90,3,0,0,hr,low,0
0.265,0.073,6,172,6,0,0,hr,medium,1
0.846,0.186,4,232,7,1,1,hr,low,0
0.179,0.191,2,130,10,0,1,technical,medium,0
0.414,0.608,5,116,1,1,0,support,medium,0
0.45,0.178,6,197,2,1,1,IT,medium,0
0.245,0.882,7,205,1,1,0,sales,medium,1
0.71,0.21,6,251,8,1,1,support,medium,1
0.851,0.091,5,83,1,0,0,product_mng,high,0
0.875,0.876,5,139,10,0,1,hr,low,0
0.339,0.295,2,267,4,1,1,technical,medium,0
0.531,0.425,2,243,3,0,0,hr,medium,0
0.248,0.959,2,295,10,0,1,hr,medium,1
0.245,0.944,7,275,8,1,0,technical,low,1
0.161,0.715,6,281,6,0,1,support,low,1
0.94,0.069,3,202,9,1,0,product_mng,high,0
0.888,0.593,4,310,8,0,1,management,high,0
0.777,0.989,4,179,7,0,1,accounting,medium,0
0.518,0.947,3,296,4,1,1,management,low,0
0.491,0.106,4,174,10,1,0,IT,medium,1
0.53,0.396,4,186,8,1,0,management,low,1
0.537,0.316,6,244,10,0,0,management,low,1
0.435,0.13,6,175,10,0,1,marketing,low,1
0.132,0.695,2,115,6,1,1,technical,low,0
0.126,0.274,4,295,4,0,1,support,low,1
0.952,0.345,7,188,10,0,1,technical,low,1
0.482,0.09,7,302,10,0,0,hr,medium,1
0.953,0.498,6,175,2,1,1,IT,high,0
0.164,0.158,6,313,7,0,1,accounting,low,1
0.554,0.432,2,224,7,0,1,support,low,0
0.208,0.143,7,264,8,1,1,management,low,1
0.253,0.954,6,261,10,1,1,accounting,medium,0
0.03,0.145,7,128,3,0,1,IT,high,1
0.119,0.522,7,275,10,0,1,product_mng,low,1
0.917,0.197,3,306,7,0,0,sales,low,0
0.322,0.076,2,238,1,0,1,technical,low,0
0.608,0.202,5,307,6,1,0,management,medium,1
0.465,0.055,4,283,2,0,1,hr,medium,0
0.4,0.139,2,239,10,0,1,hr,medium,0
0.532,0.493,3,194,8,0,1,RandD,low,0
0.187,0.652,7,285,10,1,0,support,high,1
0.989,0.087,4,124,7,1,0,technical,medium,0
0.818,0.441,3,214,4,1,0,accounting,high,0
0.742,0.581,5,275,5,1,1,IT,high,1
0.469,0.234,5,306,10,1,0,sales,low,1
0.153,0.372,3,144,2,1,1,sales,low,0
0.921,0.072,7,102,9,1,0,marketing,high,1
0.341,0.22,5,160,5,1,1,hr,high,0
0.05,0.467,2,287,6,0,1,IT,medium,1
0.342,0.99,3,205,7,0,1,management,low,0
0.794,0.996,7,93,1,1,1,IT,low,0
0.623,0.98,2,108,2,0,0,accounting,high,0
0.751,0.423,2,161,2,1,1,support,high,0
0.794,0.081,5,162,8,1,0,RandD,low,0
0.212,0.324,4,112,1,0,0,support,high,1
0.924,0.238,3,198,7,0,0,accounting,low,0
0.438,0.014,4,194,2,1,0,product_mng,low,0
0.639,0.095,3,127,8,0,1,sales,medium,0
0.002,0.453,4,135,10,1,0,support,medium,1
0.993,0.34,3,239,5,0,1,IT,high,0
0.281,0.18,5,308,3,1,0,product_mng,low,1
0.062,0.716,6,319,5,0,1,support,high,1
0.458,0.357,7,214,7,1,1,marketing,medium,0
0.129,0.852,2,89,8,1,0,management,low,1
0.152,0.241,3,295,7,0,0,accounting,high,1
0.632,0.538,3,308,6,1,0,IT,medium,1
0.393,0.184,5,146,7,1,0,RandD,medium,0
0.922,0.495,5,176,3,0,0,management,low,0
0.319,0.152,7,86,3,1,1,support,high,0
0.726,0.162,7,272,10,1,0,support,high,1
0.461,0.612,6,266,6,1,1,sales,low,1
0.66,0.264,3,84,9,0,0,hr,high,0
0.6,0.172,2,248,7,0,0,hr,high,1
0.473,0.93,7,178,5,0,1,product_mng,medium,0
0.95,0.043,7,210,6,1,1,hr,high,0
0.343,0.565,3,132,7,1,1,RandD,medium,0
0.177,0.548,2,275,2,1,1,management,high,0
0.678,0.251,6,177,5,1,0,management,low,0
0.846,0.453,5,281,8,0,1,management,low,1
0.04,0.088,7,115,1,0,0,IT,medium,1
0.45,0.721,5,221,1,1,1,RandD,low,0
0.892,0.222,6,154,2,1,1,technical,high,0
0.75,0.193,6,311,6,1,0,hr,low,1
0.992,0.315,2,213,3,1,1,IT,high,0
0.531,0.902,2,252,5,1,0,product_mng,medium,0
0.66,0.796,6,100,2,1,0,marketing,high,0
0.302,0.947,3,242,3,1,0,accounting,high,0
0.948,0.652,3,104,1,1,0,accounting,high,0
0.366,0.663,6,166,9,0,1,management,medium,0
0.739,0.48,3,133,5,1,0,accounting,high,0
0.403,0.905,2,80,2,1,1,accounting,low,0
0.562,0.511,2,220,6,0,0,marketing,medium,0
0.72,0.355,4,137,10,1,1,product_mng,low,0
0.509,0.64,5,203,9,1,1,management,low,1
0.907,0.546,6,263,9,1,1,IT,medium,1
0.419,0.124,7,122,5,1,0,RandD,low,1
0.647,0.393,5,250,4,0,0,support,medium,0
0.342,0.313,6,151,4,0,0,product_mng,medium,0
0.408,0.847,3,159,4,0,0,IT,low,1
0.44,0.379,4,218,10,1,0,support,medium,1
0.126,0.822,3,230,2,1,0,hr,high,0
0.092,0.442,2,237,9,1,1,accounting,medium,0
0.667,0.754,7,126,10,0,0,accounting,low,1
0.656,0.135,3,219,9,0,1,sales,medium,1
0.663,0.925,4,143,7,1,1,support,medium,0
0.02,0.481,4,146,9,1,1,support,high,0
0.327,0.26,2,307,1,1,1,accounting,medium,1
0.198,0.241,7,104,9,1,1,hr,low,1
0.778,0.265,3,179,6,1,0,IT,low,0
0.861,0.367,2,185,10,1,0,IT,low,0
0.247,0.718,4,138,1,0,1,marketing,medium,0
0.668,0.95,2,268,10,1,0,management,high,1
0.129,0.669,7,196,6,1,0,IT,high,1
0.275,0.547,3,252,2,1,0,support,low,1
0.139,0.449,3,172,6,0,1,marketing,medium,0
0.284,0.828,3,295,1,1,0,management,low,1
0.675,0.85,2,255,1,1,0,accounting,high,0
0.91,0.293,2,159,6,0,1,marketing,medium,0
0.203,0.953,5,310,9,0,1,accounting,medium,1
0.542,0.395,3,287,2,0,1,sales,medium,1
0.701,0.8,2,222,3,1,0,accounting,low,0
0.953,0.967,3,83,4,0,1,sales,low,0
0.61,0.704,3,221,6,0,0,IT,high,0
0.255,0.162,4,245,1,0,1,IT,low,0
0.625,0.586,7,167,7,0,1,RandD,high,0
0.32,0.119,3,114,5,1,0,support,low,0
0.976,0.789,6,215,10,1,0,support,low,1
0.4,0.281,6,272,4,1,0,hr,high,1
0.685,0.695,2,156,5,1,0,product_mng,high,0
0.023,0.91,5,189,1,0,1,accounting,high,1
0.4,0.181,4,80,10,1,0,marketing,high,0
0.875,0.393,5,248,9,0,1,RandD,medium,1
0.61,0.647,3,287,4,1,1,RandD,low,1
0.444,0.42,4,266,5,0,0,RandD,medium,1
0.936,0.175,2,183,9,1,0,management,medium,0
0.854,0.029,7,90,3,0,0,accounting,high,0
0.322,0.407,5,198,3,0,1,IT,low,0
0.545,0.649,2,305,3,0,0,technical,low,0
0.49,0.574,5,100,8,1,1,hr,medium,1
0.632,0.156,7,131,3,0,0,IT,high,0
0.334,0.451,6,280,1,1,1,IT,high,0
0.244,0.369,3,216,2,0,0,technical,medium,1
0.913,0.274,7,120,10,1,0,marketing,medium,0
0.924,0.729,3,85,9,0,0,marketing,medium,0
0.843,0.31,3,178,10,0,1,hr,medium,0
0.978,0.54,2,222,3,0,0,accounting,medium,0
0.745,0.923,7,281,5,1,0,accounting,low,0
0.765,0.539,6,292,5,0,1,marketing,medium,0
0.763,0.617,5,189,6,0,1,hr,medium,1
